"날짜","종가","시가","고가","저가","거래량","변동 %"
"2025- 01- 31","19,627.44","19,832.33","19,969.17","19,575.21","1.44B","-0.28%"
"2025- 01- 30","19,681.75","19,697.53","19,785.79","19,483.83","1.25B","0.25%"
"2025- 01- 29","19,632.32","19,695.68","19,699.82","19,479.51","1.16B","-0.51%"
"2025- 01- 28","19,733.59","19,418.22","19,759.43","19,294.62","1.34B","2.03%"
"2025- 01- 27","19,341.83","19,234.04","19,514.35","19,204.95","1.68B","-3.07%"
"2025- 01- 24","19,954.30","20,087.11","20,118.61","19,897.13","1.27B","-0.50%"
"2025- 01- 23","20,053.68","19,906.99","20,053.68","19,892.55","1.20B","0.22%"
"2025- 01- 22","20,009.34","19,903.05","20,068.52","19,903.05","1.32B","1.28%"
"2025- 01- 21","19,756.78","19,734.39","19,789.63","19,551.17","1.44B","0.64%"
"2025- 01- 17","19,630.20","19,655.55","19,709.64","19,543.32","1.38B","1.51%"
"2025- 01- 16","19,338.29","19,573.87","19,579.85","19,335.68","1.22B","-0.89%"
"2025- 01- 15","19,511.23","19,350.31","19,548.90","19,299.32","1.36B","2.45%"
"2025- 01- 14","19,044.39","19,207.75","19,273.14","18,926.60","1.24B","-0.23%"
"2025- 01- 13","19,088.10","18,903.66","19,099.97","18,831.91","1.42B","-0.38%"
"2025- 01- 10","19,161.63","19,312.26","19,315.11","19,018.75","1.47B","-1.63%"
"2025- 01- 08","19,478.88","19,469.37","19,544.51","19,308.54","1.45B","-0.06%"
"2025- 01- 07","19,489.68","19,938.08","19,940.21","19,421.02","1.64B","-1.89%"
"2025- 01- 06","19,864.98","19,851.99","20,007.95","19,784.99","1.59B","1.24%"
"2025- 01- 03","19,621.68","19,395.51","19,638.66","19,379.57","1.31B","1.77%"
"2025- 01- 02","19,280.79","19,403.90","19,517.87","19,117.59","1.30B","-0.16%"
"2024- 12- 31","19,310.79","19,551.36","19,563.72","19,283.41","1.35B","-0.90%"
"2024- 12- 30","19,486.79","19,460.41","19,622.93","19,342.51","1.30B","-1.19%"
"2024- 12- 27","19,722.03","19,896.77","19,904.77","19,553.40","1.28B","-1.49%"
"2024- 12- 26","20,020.36","19,979.25","20,070.08","19,888.11","1.03B","-0.05%"
"2024- 12- 24","20,031.13","19,818.48","20,031.13","19,813.76","711.22M","1.35%"
"2024- 12- 23","19,764.88","19,641.05","19,772.10","19,504.68","1.26B","0.98%"
"2024- 12- 20","19,572.60","19,190.04","19,758.61","19,168.38","3.70B","1.03%"
"2024- 12- 19","19,372.77","19,565.66","19,623.02","19,357.76","1.51B","-0.10%"
"2024- 12- 18","19,392.69","20,114.98","20,179.77","19,336.59","1.79B","-3.56%"
"2024- 12- 17","20,109.06","20,095.62","20,148.83","20,004.73","1.53B","-0.32%"
"2024- 12- 16","20,173.89","20,016.12","20,204.58","19,988.12","1.51B","1.24%"
"2024- 12- 13","19,926.72","19,995.18","20,061.65","19,817.47","1.17B","0.12%"
"2024- 12- 12","19,902.84","19,947.34","20,018.24","19,897.38","1.15B","-0.66%"
"2024- 12- 11","20,034.89","19,832.96","20,055.93","19,830.64","1.31B","1.77%"
"2024- 12- 10","19,687.24","19,796.39","19,887.08","19,641.34","1.28B","-0.25%"
"2024- 12- 09","19,736.69","19,824.09","19,872.79","19,698.05","1.46B","-0.62%"
"2024- 12- 06","19,859.77","19,743.96","19,863.14","19,734.42","1.23B","0.81%"
"2024- 12- 05","19,700.72","19,756.40","19,790.03","19,688.59","1.27B","-0.17%"
"2024- 12- 04","19,735.12","19,587.48","19,741.76","19,575.39","1.27B","1.30%"
"2024- 12- 03","19,480.91","19,364.34","19,486.14","19,340.41","1.13B","0.40%"
"2024- 12- 02","19,403.95","19,255.43","19,436.92","19,255.43","1.25B","0.97%"
"2024- 11- 29","19,218.17","19,087.47","19,245.49","19,066.52","797.08M","0.83%"
"2024- 11- 27","19,060.48","19,132.99","19,133.11","18,937.20","1.03B","-0.60%"
"2024- 11- 26","19,175.58","19,109.08","19,184.40","19,100.73","1.12B","0.63%"
"2024- 11- 25","19,054.84","19,140.59","19,208.68","18,969.35","1.91B","0.27%"
"2024- 11- 22","19,003.65","18,966.32","19,025.77","18,899.48","1.19B","0.16%"
"2024- 11- 21","18,972.42","19,072.78","19,110.89","18,714.06","1.26B","0.03%"
"2024- 11- 20","18,966.14","18,971.31","18,974.91","18,724.39","1.13B","-0.11%"
"2024- 11- 19","18,987.47","18,699.71","18,992.08","18,689.83","1.15B","1.04%"
"2024- 11- 18","18,791.81","18,717.93","18,865.28","18,672.30","1.24B","0.60%"
"2024- 11- 15","18,680.12","18,929.92","18,936.75","18,598.87","1.37B","-2.24%"
"2024- 11- 14","19,107.65","19,256.09","19,275.80","19,073.39","1.28B","-0.64%"
"2024- 11- 13","19,230.72","19,286.46","19,358.48","19,191.13","1.39B","-0.26%"
"2024- 11- 12","19,281.40","19,289.81","19,343.05","19,168.52","1.32B","-0.09%"
"2024- 11- 11","19,298.76","19,355.34","19,366.07","19,193.29","1.33B","0.06%"
"2024- 11- 08","19,286.78","19,255.14","19,318.56","19,224.43","1.31B","0.09%"
"2024- 11- 07","19,269.46","19,084.43","19,301.70","19,084.43","1.43B","1.51%"
"2024- 11- 06","18,983.46","18,772.76","19,000.50","18,730.21","1.64B","2.95%"
"2024- 11- 05","18,439.17","18,250.71","18,449.68","18,250.71","1.07B","1.43%"
"2024- 11- 04","18,179.98","18,220.43","18,308.30","18,112.83","1.04B","-0.33%"
"2024- 11- 01","18,239.92","18,189.67","18,363.94","18,181.53","1.05B","0.80%"
"2024- 10- 31","18,095.15","18,427.31","18,427.31","18,083.95","1.31B","-2.76%"
"2024- 10- 30","18,607.93","18,731.69","18,785.49","18,598.24","1.16B","-0.56%"
"2024- 10- 29","18,712.75","18,576.09","18,753.19","18,509.59","1.12B","0.78%"
"2024- 10- 28","18,567.19","18,648.25","18,671.01","18,563.02","1.03B","0.26%"
"2024- 10- 25","18,518.61","18,512.58","18,690.01","18,487.06","976.29M","0.56%"
"2024- 10- 24","18,415.49","18,384.15","18,435.37","18,305.42","977.77M","0.76%"
"2024- 10- 23","18,276.65","18,502.06","18,509.19","18,146.61","1.02B","-1.60%"
"2024- 10- 22","18,573.13","18,451.86","18,620.71","18,413.47","949.37M","0.18%"
"2024- 10- 21","18,540.01","18,456.48","18,543.58","18,377.63","1.01B","0.27%"
"2024- 10- 18","18,489.55","18,466.01","18,524.33","18,452.58","1.01B","0.63%"
"2024- 10- 17","18,373.61","18,537.21","18,541.46","18,368.79","1.03B","0.04%"
"2024- 10- 16","18,367.08","18,333.29","18,383.11","18,214.96","1.01B","0.28%"
"2024- 10- 15","18,315.59","18,515.97","18,564.25","18,252.52","1.15B","-1.01%"
"2024- 10- 14","18,502.69","18,426.66","18,547.91","18,423.60","901.62M","0.87%"
"2024- 10- 11","18,342.94","18,217.73","18,375.53","18,208.44","912.77M","0.33%"
"2024- 10- 10","18,282.05","18,200.62","18,333.39","18,154.18","957.62M","-0.05%"
"2024- 10- 09","18,291.62","18,179.22","18,302.05","18,133.02","898.50M","0.60%"
"2024- 10- 08","18,182.92","18,017.93","18,203.04","17,989.70","944.80M","1.45%"
"2024- 10- 07","17,923.90","18,080.12","18,096.33","17,900.04","1.01B","-1.18%"
"2024- 10- 04","18,137.85","18,130.42","18,145.28","17,952.30","950.41M","1.22%"
"2024- 10- 03","17,918.48","17,859.49","18,011.25","17,826.42","908.71M","-0.04%"
"2024- 10- 02","17,925.12","17,867.12","17,978.57","17,767.79","985.44M","0.08%"
"2024- 10- 01","17,910.36","18,154.94","18,162.72","17,779.77","1.11B","-1.53%"
"2024- 09- 30","18,189.17","18,069.83","18,198.16","17,997.56","1.20B","0.38%"
"2024- 09- 27","18,119.59","18,228.78","18,238.28","18,069.18","1.02B","-0.39%"
"2024- 09- 26","18,190.29","18,327.34","18,327.34","18,071.74","1.10B","0.60%"
