날짜,날씨 상태
2023-01-01,구름 조금
2023-01-02,맑음
2023-01-03,맑음
2023-01-04,맑음
2023-01-05,구름 조금
2023-01-06,눈
2023-01-07,눈
2023-01-08,흐림
2023-01-09,구름 조금
2023-01-10,구름 조금
2023-01-11,구름 조금
2023-01-12,구름 조금
2023-01-13,비
2023-01-14,눈
2023-01-15,눈
2023-01-16,구름 조금
2023-01-17,흐림
2023-01-18,구름 조금
2023-01-19,눈
2023-01-20,눈
2023-01-21,맑음
2023-01-22,눈
2023-01-23,흐림
2023-01-24,맑음
2023-01-25,맑음
2023-01-26,눈
2023-01-27,맑음
2023-01-28,구름 조금
2023-01-29,눈
2023-01-30,맑음
2023-01-31,비
2023-02-01,흐림
2023-02-02,흐림
2023-02-03,흐림
2023-02-04,맑음
2023-02-05,맑음
2023-02-06,흐림
2023-02-07,구름 조금
2023-02-08,맑음
2023-02-09,비
2023-02-10,눈
2023-02-11,흐림
2023-02-12,흐림
2023-02-13,비
2023-02-14,구름 조금
2023-02-15,흐림
2023-02-16,눈
2023-02-17,흐림
2023-02-18,흐림
2023-02-19,구름 조금
2023-02-20,맑음
2023-02-21,맑음
2023-02-22,흐림
2023-02-23,구름 조금
2023-02-24,구름 조금
2023-02-25,맑음
2023-02-26,맑음
2023-02-27,맑음
2023-02-28,구름 조금
2023-03-01,비
2023-03-02,맑음
2023-03-03,맑음
2023-03-04,흐림
2023-03-05,맑음
2023-03-06,맑음
2023-03-07,맑음
2023-03-08,비
2023-03-09,비
2023-03-10,구름 조금
2023-03-11,흐림
2023-03-12,비
2023-03-13,구름 조금
2023-03-14,흐림
2023-03-15,비
2023-03-16,흐림
2023-03-17,흐림
2023-03-18,구름 조금
2023-03-19,맑음
2023-03-20,비
2023-03-21,맑음
2023-03-22,흐림
2023-03-23,비
2023-03-24,흐림
2023-03-25,비
2023-03-26,구름 조금
2023-03-27,맑음
2023-03-28,구름 조금
2023-03-29,맑음
2023-03-30,구름 조금
2023-03-31,맑음
2023-04-01,구름 조금
2023-04-02,맑음
2023-04-03,흐림
2023-04-04,비
2023-04-05,비
2023-04-06,비
2023-04-07,비
2023-04-08,맑음
2023-04-09,맑음
2023-04-10,흐림
2023-04-11,비
2023-04-12,맑음
2023-04-13,흐림
2023-04-14,비
2023-04-15,비
2023-04-16,비
2023-04-17,비
2023-04-18,비
2023-04-19,구름 조금
2023-04-20,흐림
2023-04-21,구름 조금
2023-04-22,흐림
2023-04-23,흐림
2023-04-24,흐림
2023-04-25,비
2023-04-26,비
2023-04-27,맑음
2023-04-28,비
2023-04-29,비
2023-04-30,비
2023-05-01,구름 조금
2023-05-02,흐림
2023-05-03,흐림
2023-05-04,흐림
2023-05-05,비
2023-05-06,비
2023-05-07,흐림
2023-05-08,구름 조금
2023-05-09,구름 조금
2023-05-10,흐림
2023-05-11,구름 조금
2023-05-12,흐림
2023-05-13,구름 조금
2023-05-14,구름 조금
2023-05-15,구름 조금
2023-05-16,맑음
2023-05-17,구름 조금
2023-05-18,비
2023-05-19,구름 조금
2023-05-20,흐림
2023-05-21,비
2023-05-22,흐림
2023-05-23,맑음
2023-05-24,흐림
2023-05-25,흐림
2023-05-26,비
2023-05-27,비
2023-05-28,비
2023-05-29,비
2023-05-30,비
2023-05-31,흐림
2023-06-01,비
2023-06-02,비
2023-06-03,구름 조금
2023-06-04,흐림
2023-06-05,흐림
2023-06-06,흐림
2023-06-07,비
2023-06-08,비
2023-06-09,비
2023-06-10,비
2023-06-11,비
2023-06-12,비
2023-06-13,비
2023-06-14,비
2023-06-15,비
2023-06-16,맑음
2023-06-17,흐림
2023-06-18,흐림
2023-06-19,흐림
2023-06-20,비
2023-06-21,비
2023-06-22,비
2023-06-23,비
2023-06-24,비
2023-06-25,흐림
2023-06-26,비
2023-06-27,비
2023-06-28,비
2023-06-29,비
2023-06-30,비
2023-07-01,비
2023-07-02,비
2023-07-03,비
2023-07-04,비
2023-07-05,비
2023-07-06,흐림
2023-07-07,흐림
2023-07-08,비
2023-07-09,비
2023-07-10,비
2023-07-11,비
2023-07-12,비
2023-07-13,비
2023-07-14,비
2023-07-15,비
2023-07-16,비
2023-07-17,비
2023-07-18,비
2023-07-19,비
2023-07-20,흐림
2023-07-21,비
2023-07-22,비
2023-07-23,비
2023-07-24,비
2023-07-25,비
2023-07-26,비
2023-07-27,비
2023-07-28,비
2023-07-29,비
2023-07-30,비
2023-07-31,비
2023-08-01,비
2023-08-02,흐림
2023-08-03,구름 조금
2023-08-04,흐림
2023-08-05,구름 조금
2023-08-06,비
2023-08-07,비
2023-08-08,비
2023-08-09,비
2023-08-10,비
2023-08-11,비
2023-08-12,비
2023-08-13,비
2023-08-14,비
2023-08-15,흐림
2023-08-16,비
2023-08-17,비
2023-08-18,비
2023-08-19,비
2023-08-20,흐림
2023-08-21,비
2023-08-22,비
2023-08-23,비
2023-08-24,비
2023-08-25,비
2023-08-26,흐림
2023-08-27,비
2023-08-28,비
2023-08-29,비
2023-08-30,비
2023-08-31,비
2023-09-01,맑음
2023-09-02,흐림
2023-09-03,비
2023-09-04,비
2023-09-05,비
2023-09-06,비
2023-09-07,맑음
2023-09-08,맑음
2023-09-09,흐림
2023-09-10,비
2023-09-11,비
2023-09-12,흐림
2023-09-13,비
2023-09-14,비
2023-09-15,비
2023-09-16,비
2023-09-17,비
2023-09-18,비
2023-09-19,비
2023-09-20,비
2023-09-21,흐림
2023-09-22,구름 조금
2023-09-23,흐림
2023-09-24,비
2023-09-25,비
2023-09-26,비
2023-09-27,비
2023-09-28,비
2023-09-29,흐림
2023-09-30,비
2023-10-01,맑음
2023-10-02,구름 조금
2023-10-03,흐림
2023-10-04,비
2023-10-05,구름 조금
2023-10-06,흐림
2023-10-07,흐림
2023-10-08,비
2023-10-09,비
2023-10-10,맑음
2023-10-11,구름 조금
2023-10-12,구름 조금
2023-10-13,흐림
2023-10-14,비
2023-10-15,구름 조금
2023-10-16,맑음
2023-10-17,맑음
2023-10-18,흐림
2023-10-19,비
2023-10-20,구름 조금
2023-10-21,맑음
2023-10-22,구름 조금
2023-10-23,비
2023-10-24,비
2023-10-25,비
2023-10-26,비
2023-10-27,비
2023-10-28,맑음
2023-10-29,맑음
2023-10-30,구름 조금
2023-10-31,흐림
2023-11-01,비
2023-11-02,맑음
2023-11-03,비
2023-11-04,비
2023-11-05,비
2023-11-06,비
2023-11-07,비
2023-11-08,구름 조금
2023-11-09,비
2023-11-10,구름 조금
2023-11-11,흐림
2023-11-12,맑음
2023-11-13,맑음
2023-11-14,흐림
2023-11-15,흐림
2023-11-16,비
2023-11-17,눈
2023-11-18,맑음
2023-11-19,비
2023-11-20,맑음
2023-11-21,맑음
2023-11-22,구름 조금
2023-11-23,비
2023-11-24,맑음
2023-11-25,맑음
2023-11-26,흐림
2023-11-27,비
2023-11-28,구름 조금
2023-11-29,눈
2023-11-30,맑음
2023-12-01,맑음
2023-12-02,비
2023-12-03,맑음
2023-12-04,구름 조금
2023-12-05,흐림
2023-12-06,비
2023-12-07,맑음
2023-12-08,맑음
2023-12-09,비
2023-12-10,비
2023-12-11,비
2023-12-12,비
2023-12-13,비
2023-12-14,비
2023-12-15,비
2023-12-16,눈
2023-12-17,맑음
2023-12-18,흐림
2023-12-19,눈
2023-12-20,눈
2023-12-21,맑음
2023-12-22,맑음
2023-12-23,구름 조금
2023-12-24,눈
2023-12-25,눈
2023-12-26,흐림
2023-12-27,맑음
2023-12-28,구름 조금
2023-12-29,흐림
2023-12-30,눈
2023-12-31,눈
2024-01-01,구름 조금
2024-01-02,비
2024-01-03,눈
2024-01-04,구름 조금
2024-01-05,비
2024-01-06,눈
2024-01-07,맑음
2024-01-08,구름 조금
2024-01-09,눈
2024-01-10,맑음
2024-01-11,흐림
2024-01-12,맑음
2024-01-13,맑음
2024-01-14,비
2024-01-15,맑음
2024-01-16,구름 조금
2024-01-17,눈
2024-01-18,비
2024-01-19,흐림
2024-01-20,눈
2024-01-21,눈
2024-01-22,흐림
2024-01-23,맑음
2024-01-24,맑음
2024-01-25,맑음
2024-01-26,구름 조금
2024-01-27,구름 조금
2024-01-28,맑음
2024-01-29,구름 조금
2024-01-30,구름 조금
2024-01-31,구름 조금
2024-02-01,흐림
2024-02-02,흐림
2024-02-03,비
2024-02-04,흐림
2024-02-05,눈
2024-02-06,눈
2024-02-07,구름 조금
2024-02-08,흐림
2024-02-09,구름 조금
2024-02-10,맑음
2024-02-11,맑음
2024-02-12,맑음
2024-02-13,맑음
2024-02-14,비
2024-02-15,눈
2024-02-16,맑음
2024-02-17,맑음
2024-02-18,비
2024-02-19,비
2024-02-20,눈
2024-02-21,눈
2024-02-22,눈
2024-02-23,눈
2024-02-24,눈
2024-02-25,눈
2024-02-26,구름 조금
2024-02-27,흐림
2024-02-28,흐림
2024-02-29,비
2024-03-01,맑음
2024-03-02,눈
2024-03-03,눈
2024-03-04,흐림
2024-03-05,눈
2024-03-06,흐림
2024-03-07,눈
2024-03-08,맑음
2024-03-09,맑음
2024-03-10,맑음
2024-03-11,비
2024-03-12,비
2024-03-13,맑음
2024-03-14,맑음
2024-03-15,맑음
2024-03-16,구름 조금
2024-03-17,비
2024-03-18,흐림
2024-03-19,비
2024-03-20,맑음
2024-03-21,맑음
2024-03-22,비
2024-03-23,비
2024-03-24,흐림
2024-03-25,비
2024-03-26,눈
2024-03-27,흐림
2024-03-28,비
2024-03-29,눈
2024-03-30,눈
2024-03-31,구름 조금
2024-04-01,맑음
2024-04-02,흐림
2024-04-03,비
2024-04-04,흐림
2024-04-05,비
2024-04-06,흐림
2024-04-07,구름 조금
2024-04-08,흐림
2024-04-09,맑음
2024-04-10,흐림
2024-04-11,비
2024-04-12,맑음
2024-04-13,구름 조금
2024-04-14,흐림
2024-04-15,비
2024-04-16,비
2024-04-17,흐림
2024-04-18,맑음
2024-04-19,흐림
2024-04-20,비
2024-04-21,비
2024-04-22,흐림
2024-04-23,비
2024-04-24,비
2024-04-25,흐림
2024-04-26,흐림
2024-04-27,구름 조금
2024-04-28,흐림
2024-04-29,흐림
2024-04-30,흐림
2024-05-01,비
2024-05-02,맑음
2024-05-03,맑음
2024-05-04,구름 조금
2024-05-05,비
2024-05-06,비
2024-05-07,비
2024-05-08,비
2024-05-09,맑음
2024-05-10,구름 조금
2024-05-11,비
2024-05-12,구름 조금
2024-05-13,맑음
2024-05-14,맑음
2024-05-15,비
2024-05-16,비
2024-05-17,구름 조금
2024-05-18,맑음
2024-05-19,구름 조금
2024-05-20,비
2024-05-21,흐림
2024-05-22,흐림
2024-05-23,구름 조금
2024-05-24,흐림
2024-05-25,흐림
2024-05-26,비
2024-05-27,흐림
2024-05-28,구름 조금
2024-05-29,구름 조금
2024-05-30,흐림
2024-05-31,비
2024-06-01,비
2024-06-02,맑음
2024-06-03,맑음
2024-06-04,맑음
2024-06-05,흐림
2024-06-06,비
2024-06-07,흐림
2024-06-08,비
2024-06-09,흐림
2024-06-10,맑음
2024-06-11,흐림
2024-06-12,흐림
2024-06-13,맑음
2024-06-14,흐림
2024-06-15,비
2024-06-16,비
2024-06-17,흐림
