date,btc_price,eth_price,doge_price,kospi,nasdaq,kor_rate,usa_rate
2023-01-01,21123000.0,1528000.0,89.3,2236.4,10466.48,3.25,4.33
2023-01-02,21215000.0,1543500.0,90.8,2225.67,10466.48,3.25,4.33
2023-01-03,21351000.0,1554500.0,90.2,2218.68,10386.99,3.25,4.33
2023-01-04,21588000.0,1610000.0,93.7,2255.98,10458.76,3.25,4.33
2023-01-05,21575000.0,1602500.0,91.8,2264.65,10305.24,3.25,4.33
2023-01-06,21517000.0,1610000.0,91.9,2289.97,10569.29,3.25,4.33
2023-01-07,21539000.0,1609000.0,91.9,2289.97,10569.29,3.25,4.33
2023-01-08,21704000.0,1634500.0,93.3,2289.97,10569.29,3.25,4.33
2023-01-09,21655000.0,1663500.0,95.4,2350.19,10635.65,3.25,4.33
2023-01-10,21916000.0,1680500.0,97.9,2351.31,10742.63,3.25,4.33
2023-01-11,22485000.0,1739500.0,98.0,2359.53,10931.67,3.25,4.33
2023-01-12,23552000.0,1770500.0,100.0,2365.1,11001.11,3.25,4.33
2023-01-13,24802000.0,1807000.0,105.0,2386.09,11079.16,3.5,4.33
2023-01-14,25881000.0,1912000.0,107.0,2386.09,11079.16,3.5,4.33
2023-01-15,25836000.0,1921000.0,106.0,2386.09,11079.16,3.5,4.33
2023-01-16,26368000.0,1961000.0,104.0,2399.86,11079.16,3.5,4.33
2023-01-17,26255000.0,1945000.0,103.0,2379.39,11095.11,3.5,4.33
2023-01-18,25718000.0,1881000.0,99.7,2368.32,10957.01,3.5,4.33
2023-01-19,26205000.0,1931500.0,101.0,2380.34,10852.27,3.5,4.33
2023-01-20,28026000.0,2050000.0,106.0,2395.26,11140.43,3.5,4.33
2023-01-21,28333000.0,2025000.0,106.0,2395.26,11140.43,3.5,4.33
2023-01-22,28390000.0,2036000.0,110.0,2395.26,11140.43,3.5,4.33
2023-01-23,28609000.0,2032000.0,110.0,2395.26,11364.41,3.5,4.33
2023-01-24,28351000.0,1951500.0,106.0,2395.26,11334.27,3.5,4.33
2023-01-25,28736000.0,2008000.0,107.0,2428.57,11313.36,3.5,4.33
2023-01-26,28930000.0,2014000.0,108.0,2468.65,11512.41,3.5,4.33
2023-01-27,28950000.0,2005000.0,109.0,2484.02,11621.71,3.5,4.33
2023-01-28,29063000.0,1987000.0,110.0,2484.02,11621.71,3.5,4.33
2023-01-29,29670000.0,2055000.0,113.0,2484.02,11621.71,3.5,4.33
2023-01-30,28706000.0,1969500.0,111.0,2450.47,11393.81,3.5,4.33
2023-01-31,29064000.0,1992500.0,121.0,2425.08,11584.55,3.5,4.33
2023-02-01,29620000.0,2048000.0,117.0,2449.8,11816.32,3.5,4.33
2023-02-02,29600000.0,2072000.0,114.0,2468.88,12200.82,3.5,4.58
2023-02-03,29432000.0,2091000.0,116.0,2480.4,12006.96,3.5,4.58
2023-02-04,29420000.0,2098000.0,120.0,2480.4,12006.96,3.5,4.58
2023-02-05,28990000.0,2058000.0,117.0,2480.4,12006.96,3.5,4.58
2023-02-06,29222000.0,2070000.0,115.0,2438.19,11887.45,3.5,4.58
2023-02-07,29452000.0,2116000.0,117.0,2451.71,12113.79,3.5,4.58
2023-02-08,29303000.0,2105000.0,115.0,2483.64,11910.52,3.5,4.58
2023-02-09,28193000.0,1997500.0,106.0,2481.52,11789.58,3.5,4.57
2023-02-10,28120000.0,1968500.0,105.0,2469.73,11718.12,3.5,4.58
2023-02-11,28377000.0,1996500.0,107.0,2469.73,11718.12,3.5,4.58
