date,doge_price,btc_price,eth_price,kospi_price,nasdaq_price,us_rate,kr_rate
2023-01-01,89.3,21123000.0,1528000.0,,,4.33,
2023-01-02,90.8,21215000.0,1543500.0,2225.67,,4.33,
2023-01-03,90.2,21351000.0,1554500.0,2218.68,10386.99,4.33,3.25
2023-01-04,93.7,21588000.0,1610000.0,2255.98,10458.76,4.33,3.25
2023-01-05,91.8,21575000.0,1602500.0,2264.65,10305.24,4.33,3.25
2023-01-06,91.9,21517000.0,1610000.0,2289.97,10569.29,4.33,3.25
2023-01-07,91.9,21539000.0,1609000.0,,,4.33,
2023-01-08,93.3,21704000.0,1634500.0,,,4.33,
2023-01-09,95.4,21655000.0,1663500.0,2350.19,10635.65,4.33,3.25
2023-01-10,97.9,21916000.0,1680500.0,2351.31,10742.63,4.33,3.25
2023-01-11,98.0,22485000.0,1739500.0,2359.53,10931.67,4.33,3.25
2023-01-12,100.0,23552000.0,1770500.0,2365.1,11001.11,4.33,3.25
2023-01-13,105.0,24802000.0,1807000.0,2386.09,11079.16,4.33,3.5
2023-01-14,107.0,25881000.0,1912000.0,,,4.33,
2023-01-15,106.0,25836000.0,1921000.0,,,4.33,
2023-01-16,104.0,26368000.0,1961000.0,2399.86,,4.33,3.5
2023-01-17,103.0,26255000.0,1945000.0,2379.39,11095.11,4.33,3.5
2023-01-18,99.7,25718000.0,1881000.0,2368.32,10957.01,4.33,3.5
2023-01-19,101.0,26205000.0,1931500.0,2380.34,10852.27,4.33,3.5
2023-01-20,106.0,28026000.0,2050000.0,2395.26,11140.43,4.33,3.5
2023-01-21,106.0,28333000.0,2025000.0,,,4.33,
2023-01-22,110.0,28390000.0,2036000.0,,,4.33,
2023-01-23,110.0,28609000.0,2032000.0,,11364.41,4.33,
2023-01-24,106.0,28351000.0,1951500.0,,11334.27,4.33,
2023-01-25,107.0,28736000.0,2008000.0,2428.57,11313.36,4.33,3.5
2023-01-26,108.0,28930000.0,2014000.0,2468.65,11512.41,4.33,3.5
2023-01-27,109.0,28950000.0,2005000.0,2484.02,11621.71,4.33,3.5
2023-01-28,110.0,29063000.0,1987000.0,,,4.33,
2023-01-29,113.0,29670000.0,2055000.0,,,4.33,
2023-01-30,111.0,28706000.0,1969500.0,2450.47,11393.81,4.33,3.5
2023-01-31,121.0,29064000.0,1992500.0,2425.08,11584.55,4.33,3.5
2023-02-01,117.0,29620000.0,2048000.0,2449.8,11816.32,4.33,3.5
2023-02-02,114.0,29600000.0,2072000.0,2468.88,12200.82,4.58,3.5
2023-02-03,116.0,29432000.0,2091000.0,2480.4,12006.96,4.58,3.5
2023-02-04,120.0,29420000.0,2098000.0,,,4.58,
2023-02-05,117.0,28990000.0,2058000.0,,,4.58,
2023-02-06,115.0,29222000.0,2070000.0,2438.19,11887.45,4.58,3.5
