date,doge_price,btc_price,eth_price,kospi_price,nasdaq_price,us_rate,kr_rate
2023-01-01,89.3,21123000,1528000,2236.4,10466.48,4.33,3.25
2023-01-02,90.8,21215000,1543500,2225.67,10466.48,4.33,3.25
2023-01-03,90.2,21351000,1554500,2218.68,10386.99,4.33,3.25
2023-01-04,93.7,21588000,1610000,2255.98,10458.76,4.33,3.25
2023-01-05,91.8,21575000,1602500,2264.65,10305.24,4.33,3.25
2023-01-06,91.9,21517000,1610000,2289.97,10569.29,4.33,3.25
2023-01-07,91.9,21539000,1609000,2289.97,10569.29,4.33,3.25
2023-01-08,93.3,21704000,1634500,2289.97,10569.29,4.33,3.25
2023-01-09,95.4,21655000,1663500,2350.19,10635.65,4.33,3.25
2023-01-10,97.9,21916000,1680500,2351.31,10742.63,4.33,3.25
2023-01-11,98,22485000,1739500,2359.53,10931.67,4.33,3.25
2023-01-12,100,23552000,1770500,2365.1,11001.11,4.33,3.25
2023-01-13,105,24802000,1807000,2386.09,11079.16,4.33,3.5
2023-01-14,107,25881000,1912000,2386.09,11079.16,4.33,3.5
2023-01-15,106,25836000,1921000,2386.09,11079.16,4.33,3.5
2023-01-16,104,26368000,1961000,2399.86,11079.16,4.33,3.5
2023-01-17,103,26255000,1945000,2379.39,11095.11,4.33,3.5
2023-01-18,99.7,25718000,1881000,2368.32,10957.01,4.33,3.5
2023-01-19,101,26205000,1931500,2380.34,10852.27,4.33,3.5
2023-01-20,106,28026000,2050000,2395.26,11140.43,4.33,3.5
2023-01-21,106,28333000,2025000,2395.26,11140.43,4.33,3.5
2023-01-22,110,28390000,2036000,2395.26,11140.43,4.33,3.5
2023-01-23,110,28609000,2032000,2395.26,11364.41,4.33,3.5
2023-01-24,106,28351000,1951500,2395.26,11334.27,4.33,3.5
2023-01-25,107,28736000,2008000,2428.57,11313.36,4.33,3.5
2023-01-26,108,28930000,2014000,2468.65,11512.41,4.33,3.5
2023-01-27,109,28950000,2005000,2484.02,11621.71,4.33,3.5
2023-01-28,110,29063000,1987000,2484.02,11621.71,4.33,3.5
2023-01-29,113,29670000,2055000,2484.02,11621.71,4.33,3.5
2023-01-30,111,28706000,1969500,2450.47,11393.81,4.33,3.5
2023-01-31,121,29064000,1992500,2425.08,11584.55,4.33,3.5
2023-02-01,117,29620000,2048000,2449.8,11816.32,4.33,3.5
2023-02-02,114,29600000,2072000,2468.88,12200.82,4.58,3.5
2023-02-03,116,29432000,2091000,2480.4,12006.96,4.58,3.5
2023-02-04,120,29420000,2098000,2480.4,12006.96,4.58,3.5
2023-02-05,117,28990000,2058000,2480.4,12006.96,4.58,3.5
2023-02-06,115,29222000,2070000,2438.19,11887.45,4.58,3.5
2023-02-07,117,29452000,2116000,2451.71,12113.79,4.58,3.5
2023-02-08,115,29303000,2105000,2483.64,11910.52,4.58,3.5
2023-02-09,106,28193000,1997500,2481.52,11789.58,4.57,3.5
2023-02-10,105,28120000,1968500,2469.73,11718.12,4.58,3.5
2023-02-11,107,28377000,1996500,2469.73,11718.12,4.58,3.5
2023-02-12,106,28263000,1965500,2469.73,11718.12,4.58,3.5
2023-02-13,107,28309000,1957500,2452.7,11891.79,4.58,3.5
2023-02-14,109,28798000,2016000,2465.64,11960.14,4.58,3.5
2023-02-15,114,31186000,2148000,2427.9,12070.59,4.58,3.5
2023-02-16,109,30451000,2119000,2475.48,11855.83,4.58,3.5
2023-02-17,113,31641000,2182000,2451.21,11787.27,4.58,3.5
2023-02-18,114,31789000,2183000,2451.21,11787.27,4.58,3.5
2023-02-19,112,31435000,2176000,2451.21,11787.27,4.58,3.5
2023-02-20,113,31883000,2187000,2455.12,11787.27,4.58,3.5
2023-02-21,111,31736000,2153000,2458.96,11492.3,4.58,3.5
2023-02-22,111,31619000,2151000,2417.68,11507.07,4.58,3.5
2023-02-23,110,31398000,2164000,2439.09,11590.4,4.58,3.5
2023-02-24,108,30877000,2142000,2423.61,11394.94,4.58,3.5
2023-02-25,107,30959000,2132000,2423.61,11394.94,4.58,3.5
2023-02-26,110,31279000,2178000,2423.61,11394.94,4.58,3.5
2023-02-27,108,31255000,2174000,2402.64,11466.98,4.57,3.5
2023-02-28,108,31024000,2150000,2412.85,11455.54,4.57,3.5
2023-03-01,108,31106000,2194000,2412.85,11379.48,4.58,3.5
2023-03-02,106,31109000,2183000,2427.85,11462.98,4.57,3.5
2023-03-03,102,29709000,2084000,2432.07,11689.01,4.57,3.5
2023-03-04,99.7,29838000,2092000,2432.07,11689.01,4.57,3.5
2023-03-05,100,29982000,2092000,2432.07,11689.01,4.57,3.5
2023-03-06,99.3,29769000,2080000,2462.62,11675.74,4.57,3.5
2023-03-07,98.7,29579000,2077000,2463.35,11530.33,4.57,3.5
2023-03-08,95.2,29023000,2050000,2431.91,11576,4.57,3.5
2023-03-09,89.4,27604000,1948000,2419.09,11338.36,4.57,3.5
2023-03-10,89.4,27343000,1936000,2394.59,11138.89,4.57,3.5
2023-03-11,89.6,27737000,1993500,2394.59,11138.89,4.57,3.5
2023-03-12,93.6,29199000,2098000,2394.59,11138.89,4.57,3.5
2023-03-13,95.7,31676000,2200000,2410.6,11188.84,4.58,3.5
2023-03-14,98.1,32490000,2235000,2348.97,11428.15,4.58,3.5
2023-03-15,93.2,32511000,2209000,2379.72,11434.05,4.58,3.5
2023-03-16,96.6,33335000,2230000,2377.91,11717.28,4.58,3.5
2023-03-17,100,36207000,2361000,2395.69,11630.51,4.58,3.5
2023-03-18,97.1,35767000,2338000,2395.69,11630.51,4.58,3.5
2023-03-19,99.3,37233000,2371000,2395.69,11630.51,4.58,3.5
2023-03-20,96.1,37295000,2328000,2379.2,11675.54,4.58,3.5
2023-03-21,101,37221000,2385000,2388.35,11860.11,4.58,3.5
2023-03-22,98.5,36372000,2312000,2416.96,11669.96,4.58,3.5
2023-03-23,102,37274000,2390000,2424.48,11787.4,4.83,3.5
2023-03-24,99.9,36749000,2344000,2414.96,11823.96,4.83,3.5
2023-03-25,99.1,36750000,2328000,2414.96,11823.96,4.83,3.5
2023-03-26,98.9,37160000,2354000,2414.96,11823.96,4.83,3.5
