date,moon_age,moon_phase
2023-01-01,9.1,9.1
2023-01-02,10.1,10.1
2023-01-03,11.1,11.1
2023-01-04,12.1,12.1
2023-01-05,13.1,13.1
2023-01-06,14.1,14.1
2023-01-07,15.1,14.6
2023-01-08,16.1,13.599999999999998
2023-01-09,17.1,12.599999999999998
2023-01-10,18.1,11.599999999999998
2023-01-11,19.1,10.599999999999998
2023-01-12,20.1,9.599999999999998
2023-01-13,21.1,8.599999999999998
2023-01-14,22.1,7.599999999999998
2023-01-15,23.1,6.599999999999998
2023-01-16,24.1,5.599999999999998
2023-01-17,25.1,4.599999999999998
2023-01-18,26.1,3.599999999999998
2023-01-19,27.1,2.599999999999998
2023-01-20,28.1,1.5999999999999979
2023-01-21,29.1,0.5999999999999979
2023-01-22,0.6,0.6
2023-01-23,1.6,1.6
2023-01-24,2.6,2.6
2023-01-25,3.6,3.6
2023-01-26,4.6,4.6
2023-01-27,5.6,5.6
2023-01-28,6.6,6.6
2023-01-29,7.6,7.6
2023-01-30,8.6,8.6
2023-01-31,9.6,9.6
2023-02-01,10.6,10.6
2023-02-02,11.6,11.6
2023-02-03,12.6,12.6
2023-02-04,13.6,13.6
2023-02-05,14.6,14.6
2023-02-06,15.6,14.1
2023-02-07,16.6,13.099999999999998
2023-02-08,17.6,12.099999999999998
2023-02-09,18.6,11.099999999999998
2023-02-10,19.6,10.099999999999998
2023-02-11,20.6,9.099999999999998
2023-02-12,21.6,8.099999999999998
2023-02-13,22.6,7.099999999999998
2023-02-14,23.6,6.099999999999998
2023-02-15,24.6,5.099999999999998
2023-02-16,25.6,4.099999999999998
2023-02-17,26.6,3.099999999999998
2023-02-18,27.6,2.099999999999998
2023-02-19,28.6,1.0999999999999979
2023-02-20,0.2,0.2
2023-02-21,1.2,1.2
2023-02-22,2.2,2.2
2023-02-23,3.2,3.2
2023-02-24,4.2,4.2
2023-02-25,5.2,5.2
2023-02-26,6.2,6.2
2023-02-27,7.2,7.2
2023-02-28,8.2,8.2
2023-03-01,9.2,9.2
2023-03-02,10.2,10.2
2023-03-03,11.2,11.2
2023-03-04,12.2,12.2
2023-03-05,13.2,13.2
2023-03-06,14.2,14.2
2023-03-07,15.2,14.5
2023-03-08,16.2,13.5
2023-03-09,17.2,12.5
2023-03-10,18.2,11.5
2023-03-11,19.2,10.5
2023-03-12,20.2,9.5
2023-03-13,21.2,8.5
2023-03-14,22.2,7.5
2023-03-15,23.2,6.5
2023-03-16,24.2,5.5
2023-03-17,25.2,4.5
2023-03-18,26.2,3.5
2023-03-19,27.2,2.5
2023-03-20,28.2,1.5
2023-03-21,29.2,0.5
2023-03-22,0.8,0.8
2023-03-23,1.8,1.8
2023-03-24,2.8,2.8
2023-03-25,3.8,3.8
2023-03-26,4.8,4.8
2023-03-27,5.8,5.8
2023-03-28,6.8,6.8
2023-03-29,7.8,7.8
2023-03-30,8.8,8.8
2023-03-31,9.8,9.8
2023-04-01,10.8,10.8
2023-04-02,11.8,11.8
2023-04-03,12.8,12.8
2023-04-04,13.8,13.8
2023-04-05,14.8,14.8
2023-04-06,15.8,13.899999999999999
2023-04-07,16.8,12.899999999999999
2023-04-08,17.8,11.899999999999999
2023-04-09,18.8,10.899999999999999
2023-04-10,19.8,9.899999999999999
2023-04-11,20.8,8.899999999999999
2023-04-12,21.8,7.899999999999999
2023-04-13,22.8,6.899999999999999
2023-04-14,23.8,5.899999999999999
2023-04-15,24.8,4.899999999999999
2023-04-16,25.8,3.8999999999999986
2023-04-17,26.8,2.8999999999999986
2023-04-18,27.8,1.8999999999999986
2023-04-19,28.8,0.8999999999999986
2023-04-20,0.3,0.3
2023-04-21,1.3,1.3
2023-04-22,2.3,2.3
2023-04-23,3.3,3.3
2023-04-24,4.3,4.3
2023-04-25,5.3,5.3
2023-04-26,6.3,6.3
2023-04-27,7.3,7.3
2023-04-28,8.3,8.3
2023-04-29,9.3,9.3
2023-04-30,10.3,10.3
2023-05-01,11.3,11.3
2023-05-02,12.3,12.3
2023-05-03,13.3,13.3
2023-05-04,14.3,14.3
2023-05-05,15.3,14.399999999999999
2023-05-06,16.3,13.399999999999999
2023-05-07,17.3,12.399999999999999
